Date,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,25y,30y
12/27/2019,1.8028,1.7152,1.695,1.7027,1.7222,1.7473,1.7736,1.8008,1.8283,1.8568,1.907,1.9612,2.0166,2.0353,2.0377
12/26/2019,1.8042,1.7154,1.6956,1.7014,1.7195,1.744,1.7697,1.7968,1.8245,1.8528,1.9017,1.9545,2.0085,2.0268,2.0284
12/24/2019,1.804,1.728,1.682,1.698,1.7178,1.7482,1.7724,1.8055,1.833,1.8643,1.9131,1.9678,2.0253,2.0402,2.043
12/23/2019,1.804,1.684,1.7156,1.6965,1.7155,1.7483,1.7723,1.8017,1.8314,1.8613,1.911,1.9655,2.0217,2.04,2.0423
12/20/2019,1.7955,1.7266,1.6957,1.7272,1.7492,1.7758,1.801,1.8295,1.8571,1.887,1.9366,1.99,2.0438,2.0624,2.0651
12/19/2019,1.7855,1.7099,1.689,1.708,1.731,1.7593,1.788,1.817,1.8475,1.8773,1.9271,1.9815,2.0361,2.0542,2.0566
12/18/2019,1.778,1.7009,1.6886,1.7013,1.7245,1.752,1.781,1.8101,1.8414,1.8713,1.9219,1.9768,2.0323,2.051,2.054
12/17/2019,1.771,1.6995,1.6725,1.7014,1.724,1.7497,1.7776,1.8063,1.8359,1.8657,1.916,1.971,2.0267,2.0452,2.0484
12/16/2019,1.7658,1.6864,1.6635,1.681,1.6995,1.7235,1.7492,1.7766,1.8052,1.8339,1.8835,1.9375,1.9929,2.0113,2.0145
12/13/2019,1.747,1.6787,1.616,1.6711,1.6897,1.7111,1.7359,1.7624,1.7896,1.818,1.8665,1.919,1.9725,1.99,1.9922
12/12/2019,1.7678,1.6417,1.674,1.617,1.6304,1.6505,1.6735,1.6995,1.7275,1.756,1.8065,1.862,1.918,1.9374,1.941
12/11/2019,1.7312,1.6869,1.6003,1.6855,1.7069,1.7276,1.7511,1.778,1.8069,1.8355,1.8849,1.9386,1.9933,2.0112,2.014
12/10/2019,1.7425,1.6276,1.6355,1.5985,1.6085,1.6243,1.6433,1.6672,1.6934,1.7205,1.7697,1.8237,1.8794,1.8982,1.9017
12/9/2019,1.7273,1.6562,1.6094,1.6382,1.6529,1.669,1.6896,1.7141,1.7415,1.7685,1.8163,1.868,1.9205,1.9383,1.94
12/6/2019,1.7323,1.6295,1.6149,1.6136,1.6295,1.648,1.6697,1.6955,1.7239,1.7524,1.8007,1.8534,1.907,1.9251,1.9275
12/5/2019,1.7165,1.6355,1.5887,1.6184,1.634,1.6555,1.68,1.7081,1.7384,1.7688,1.8189,1.8735,1.9288,1.9477,1.951
12/4/2019,1.7074,1.6126,1.5556,1.5902,1.6051,1.6264,1.6509,1.6795,1.7105,1.7412,1.7923,1.8478,1.9042,1.9237,1.9275
12/3/2019,1.6908,1.5886,1.5048,1.5558,1.57,1.5895,1.6127,1.6404,1.6702,1.7003,1.7517,1.8082,1.8654,1.8858,1.8902
12/2/2019,1.7425,1.549,1.5962,1.4991,1.5104,1.5291,1.5529,1.581,1.611,1.6411,1.6919,1.747,1.8035,1.823,1.8267
11/29/2019,1.7409,1.6266,1.582,1.5961,1.6102,1.6303,1.6545,1.6832,1.7135,1.7434,1.7934,1.8475,1.9032,1.9222,1.9251
11/27/2019,1.7565,1.6185,1.586,1.5771,1.586,1.601,1.6258,1.6458,1.672,1.7006,1.747,1.7982,1.857,1.8739,1.8754
11/26/2019,1.732,1.632,1.5878,1.572,1.5832,1.596,1.613,1.633,1.6631,1.687,1.7327,1.783,1.837,1.8535,1.8554
11/25/2019,1.7425,1.6325,1.5434,1.5776,1.5835,1.596,1.6128,1.6352,1.6609,1.6872,1.7328,1.7836,1.8369,1.8542,1.8565
11/22/2019,1.7355,1.5935,1.5626,1.533,1.5393,1.5541,1.5743,1.5996,1.6274,1.6554,1.7029,1.7548,1.8087,1.827,1.8297
11/21/2019,1.7137,1.6085,1.5652,1.5501,1.5529,1.5666,1.5867,1.6112,1.6385,1.666,1.7144,1.7674,1.8226,1.841,1.8444
11/20/2019,1.697,1.609,1.546,1.5525,1.5555,1.5704,1.5906,1.6157,1.6433,1.6714,1.7202,1.773,1.8282,1.8465,1.8496
11/19/2019,1.7105,1.5849,1.5261,1.5396,1.548,1.5645,1.5827,1.6077,1.6352,1.6631,1.7125,1.7667,1.8232,1.8429,1.8467
11/18/2019,1.7235,1.5676,1.55,1.5173,1.524,1.5403,1.5615,1.5872,1.6157,1.6441,1.6935,1.748,1.8033,1.8227,1.8267
11/15/2019,1.7367,1.5882,1.5756,1.5441,1.5537,1.571,1.5932,1.6199,1.6483,1.6772,1.7259,1.7793,1.835,1.8533,1.8566
11/14/2019,1.7325,1.6077,1.6009,1.574,1.5863,1.6054,1.6283,1.6554,1.6845,1.7136,1.764,1.8195,1.8767,1.8963,1.901
11/13/2019,1.7608,1.6316,1.5895,1.597,1.6072,1.6265,1.65,1.6779,1.7071,1.7364,1.7851,1.8377,1.8931,1.9112,1.9145
11/12/2019,1.778,1.623,1.6445,1.5841,1.5927,1.6129,1.6357,1.6635,1.693,1.7228,1.7727,1.827,1.8835,1.903,1.9069
11/8/2019,1.787,1.6691,1.6872,1.6435,1.6549,1.6753,1.7007,1.729,1.759,1.789,1.839,1.893,1.949,1.9682,1.9721
11/7/2019,1.776,1.7011,1.7058,1.6934,1.7094,1.7305,1.756,1.7843,1.8142,1.8435,1.8932,1.947,2.0032,2.0218,2.0255
11/6/2019,1.7522,1.722,1.7035,1.71,1.7218,1.7407,1.7678,1.7966,1.823,1.849,1.9,1.9542,2.0091,2.026,2.035
11/5/2019,1.76,1.7165,1.6914,1.7072,1.722,1.7257,1.7641,1.791,1.8201,1.849,1.8978,1.9513,2.0066,2.0258,2.0297
11/4/2019,1.7454,1.7054,1.6184,1.6935,1.7073,1.631,1.7485,1.7758,1.8045,1.8336,1.882,1.9353,1.9905,2.009,2.0134
11/1/2019,1.7175,1.652,1.6415,1.6074,1.6125,1.661,1.6552,1.6836,1.714,1.7443,1.7946,1.8499,1.908,1.9279,1.9335
